# GoalTracker 财务数据
公司,沪电股份
股票代码,002463.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,120.69,74.5988,19.172455,9.770988,4.9757,2.495692,2.3519,17.463832,2.6711,1.5223,3.4,25.95224,13.017068,38.189693,19.6391,20.0523,0.4662,13.7306,2.104501
2022Q2,123.8208,74.3189,37.357337,5.462678,10.903,5.339076,5.0581,15.024122,7.4007,3.9292,7.23,29.185775,14.291908,39.978663,17.9896,21.683,0.4082,15.8319,4.443539
2022Q3,130.0084,78.1012,57.635924,6.503792,17.2427,9.216154,8.7389,24.246817,10.4637,6.7211,12.27,29.916595,15.990294,39.926028,19.1429,23.1428,0.4698,16.6238,7.477762
2022Q4,125.0132,82.669,83.360302,12.364954,25.2442,13.61575,12.6466,32.209214,15.6577,8.7668,17.7,30.283275,16.333614,33.871808,22.4372,17.8592,0.3465,12.9245,11.275991
2023Q1,134.2046,86.1045,18.679121,-2.573139,4.8066,2.002928,1.8255,-22.381261,6.3128,1.4579,2.39,25.732589,10.722815,35.840883,18.3279,16.0184,0.246,22.1303,1.545362
2023Q2,140.8254,86.9833,37.634735,0.742552,11.1491,4.926059,4.4419,-12.181863,10.8074,3.1323,5.83,29.624372,12.900885,38.233178,18.5603,16.2578,0.2365,16.5264,3.652754
2023Q3,148.6743,91.8592,60.824569,5.532392,18.597,9.530823,8.7772,0.437689,17.2041,5.2517,11.05,30.574811,15.418304,38.214471,21.0662,18.0288,0.2034,17.8542,6.853157
2023Q4,160.3548,98.3722,89.383093,7.225011,27.7141,15.125382,14.0838,11.363976,22.4331,8.1047,16.84,31.005945,16.664433,38.653391,26.8713,17.4922,0.2264,20.9789,10.439281
2024Q1,177.3464,103.989,25.840354,38.338167,8.6541,5.14812,4.9658,172.016458,8.9237,3.4564,5.12,33.490798,19.663792,41.363927,24.2885,20.7641,0.27,38.2716,3.009284
2024Q2,180.3662,101.4451,54.241061,44.125,19.6987,11.408303,11.1147,150.223959,11.9393,7.1786,11.14,36.316923,20.799708,43.756046,26.3728,24.8165,0.308,23.2252,6.622416
2024Q3,191.0807,109.9369,90.10914,48.145957,32.1972,18.483894,18.0631,105.796614,18.6031,13.096,17.83,35.731376,20.311168,42.465718,29.7444,26.9077,0.3103,25.2614,10.415692
2024Q4,211.7994,119.0143,133.415414,49.262473,46.0813,25.872367,25.463,80.796365,23.2518,21.4782,24.25,34.539736,19.235523,43.808016,40.4341,24.361,0.2888,15.427,13.791678
2025Q1,230.2298,127.1229,40.376273,56.252785,13.2252,7.624654,7.4523,50.073429,14.211,6.5813,6.22,32.754923,18.822343,44.784352,39.9379,27.9888,0.4389,32.3286,3.438579
2025Q2,244.6377,127.9558,84.938719,56.594869,29.8508,16.827809,16.4381,47.895239,20.9742,13.8825,13.37,35.143948,19.759121,47.69577,43.8054,30.9944,0.5291,27.4092,7.35398
2025Q3,263.1461,140.0442,135.123902,49.955822,47.8377,27.17618,26.7642,48.170418,28.952,21.0354,21.07,35.402808,20.080247,46.780818,48.6984,35.9231,0.6379,30.7145,11.425822
2025Q4,282.5427,151.2809,189.452206,42.001737,67.2092,38.223063,37.6057,47.687451,38.7197,31.985,28.57,35.475561,20.156393,46.457351,55.0716,42.4594,0.6582,25.7911,15.449516
2026Q1,327.2002,168.0398,62.141564,53.906141,22.1425,12.420814,11.6268,56.015734,5.1102,14.6723,7.81,35.632418,19.977607,48.643119,64.7645,49.1341,0.8196,43.9164,4.07201
2026Q2,376.6318,180.034,136.894275,61.168283,52.9994,29.233617,27.9453,70.002677,11.5069,36.0201,17.38,38.715569,21.353411,52.198954,79.6726,60.4128,0.8876,45.538,8.869152
