# GoalTracker 财务数据
公司,同花顺
股票代码,300033.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,74.7413,56.1859,5.149812,-2.895008,4.3249,1.118767,1.082,-35.992335,0.8943,0.4331,1.71,83.98102,21.724434,24.826154,0.3548,,11.475,62.0874,1.400617
2022Q2,82.648,60.1829,13.89498,4.686116,12.1643,4.849408,4.6501,-18.922077,3.8443,1.202,7.76,87.544858,34.900434,27.181656,0.4698,,11.2032,69.4859,5.784808
2022Q3,82.143,64.4536,22.756633,4.148951,20.1216,8.824373,8.4747,-14.134809,8.9709,2.025,13.99,88.420707,38.777149,21.534814,0.4467,,11.4994,68.0195,10.558303
2022Q4,90.2754,72.4506,35.591375,1.403832,31.8951,16.91067,16.1567,-14.338348,17.4961,2.8168,25.55,89.614726,47.513394,19.744866,0.3778,,9.8158,75.3837,19.294777
2023Q1,80.6753,60.1705,6.098284,18.417613,5.0248,1.222356,1.1584,7.061611,0.7557,0.8367,1.67,82.397709,20.044253,25.416448,0.441,,10.7153,65.336,1.430068
2023Q2,87.5157,63.953,14.704991,5.829526,12.6471,4.593077,4.488,-3.484562,4.2117,1.1489,6.73,86.005671,31.232976,26.924021,0.4791,,10.9591,71.9698,5.16652
2023Q3,85.4888,67.0354,23.723988,4.25087,20.8919,7.706225,7.5794,-10.563747,7.4938,1.5051,11.39,88.062321,32.480665,21.585814,0.4822,,10.6684,69.9457,8.768234
2023Q4,98.4486,73.1935,35.642602,0.143933,31.7526,14.024686,13.6892,-15.271911,15.919,2.0113,20.19,89.086016,39.348326,25.653111,0.5408,,11.0153,81.6987,14.862729
2024Q1,85.6955,62.4418,6.188224,1.47484,5.1077,1.038662,0.9896,-14.575149,-0.505,0.2692,1.41,82.538651,16.781433,27.135225,0.592,,11.16,68.969,1.127892
2024Q2,86.5536,65.0726,13.89444,-5.512085,11.7901,3.628926,3.4442,-23.258445,3.0432,0.5582,5.25,84.854855,26.115816,24.818154,0.5,,12.0217,69.9485,3.922815
2024Q3,92.7822,67.8202,23.347203,-1.588199,20.0055,6.509639,6.3104,-16.743338,6.5487,0.6993,9.5,85.687094,27.879886,26.903879,0.595,,11.8035,76.0185,6.807662
2024Q4,109.765,79.7433,41.867947,17.466021,37.434,18.232667,17.649,28.925967,23.1551,1.0368,24.8,89.409611,43.548307,27.350941,0.4068,,14.8612,91.997,17.513534
2025Q1,92.1993,64.8019,7.481872,20.90499,6.3071,1.203936,1.1253,13.716866,3.1329,0.5438,1.5,84.297828,16.099386,29.715374,0.5253,,18.6812,75.1294,1.19282
2025Q2,103.3246,68.5684,17.794053,28.065998,15.4716,5.018591,4.844,40.641458,11.4099,0.7521,6.77,86.948117,28.207814,33.637877,0.4619,,23.1364,86.1796,4.710987
2025Q3,114.5318,75.0297,32.608609,39.668159,29.035,12.062004,11.7056,85.497544,21.9588,0.9239,16.1,89.040836,36.992737,34.490066,0.4971,,25.1894,97.4357,10.756121
2025Q4,158.3299,94.9195,60.28986,44.00004,55.192,32.05082,30.5101,72.871904,37.7424,1.4242,38.54,91.544445,53.161554,40.049529,0.2064,,17.693,140.3633,23.910204
2026Q1,178.326,69.8983,10.534947,40.806304,8.9535,2.559384,2.5048,122.580424,8.3882,0.6279,2.67,84.988113,24.292707,60.803078,0.4115,,26.561,160.2913,1.520379
2026Q2,143.0835,76.7255,26.456536,48.681902,23.5387,9.523054,9.3437,92.894691,22.1939,0.8906,10.54,88.971027,35.996391,46.377098,0.4366,,33.5338,124.4882,6.319159
