# GoalTracker 财务数据
公司,中际旭创
股票代码,300308.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2021Q4,165.6468,116.0304,76.954048,9.161025,19.68,8.769771,7.2781,-4.782637,8.1276,8.3958,9.98,25.573768,11.519818,29.953131,5.874649
2022Q1,164.2509,118.3844,20.886226,41.913416,5.4891,2.174126,1.9615,79.618741,8.9977,1.204,1.87,26.281084,10.308234,27.924654,1.305254
2022Q2,167.5272,118.0665,42.310438,28.296944,11.3329,4.924552,4.4328,43.901296,12.1752,2.9234,4.19,26.785041,11.57268,29.524003,2.939276
2022Q3,167.1973,119.495,68.649882,28.990535,19.1646,8.525084,7.7944,52.424684,14.6768,5.2328,7.2,27.916487,12.395086,28.530561,5.113032
2022Q4,165.5699,120.69,96.417948,25.292886,28.262,12.239909,10.3741,42.539447,24.4894,7.9183,10.28,29.312002,12.795224,27.106305,7.449439
2023Q1,170.1441,124.9747,18.371632,-12.039486,5.4287,2.499203,2.3259,18.577968,5.0015,1.0197,2.05,29.549402,13.313381,26.547735,1.457124
2023Q2,171.9654,133.2408,40.039812,-5.366586,12.1672,6.137528,5.8312,31.547301,11.5563,3.3218,4.87,30.38771,16.161924,22.518863,3.834387
2023Q3,189.6507,140.5109,70.302904,2.407901,22.3187,12.958679,12.4433,59.644477,14.4272,6.7635,10.09,31.746521,18.666416,25.910646,7.388668
2023Q4,200.0675,147.745,107.179845,11.161716,35.3611,21.735277,21.2367,104.707854,18.9713,17.0446,16.58,32.992277,20.597624,26.152419,12.075627
2024Q1,223.4035,166.5577,48.425469,163.58828,15.8637,10.092663,9.9022,325.728565,6.505,7.0357,6.82,32.759085,21.22225,25.44536,4.853686
2024Q2,244.2277,171.3982,107.985942,169.696423,35.7782,23.584211,23.3291,300.074775,9.681,12.5802,15.45,33.132279,22.289211,29.820326,10.834787
2024Q3,271.2429,186.867,173.126018,146.25728,57.6881,37.526592,37.177,198.770366,13.1587,20.3465,23.68,33.321447,22.362724,31.107144,16.42896
2024Q4,288.6628,202.9284,238.621597,122.636633,80.6659,51.71486,50.6836,138.660346,31.6458,28.6616,31.23,33.804958,22.511689,29.700524,21.982577
2025Q1,315.8287,219.8373,66.741765,37.823682,24.4949,15.828761,15.6839,58.388108,21.6446,4.0156,7.94,36.700999,25.329198,30.393508,5.593182
2025Q2,347.8671,242.438,147.890748,36.953705,58.1611,39.951154,39.7538,70.404499,32.1846,9.5372,18.84,39.327058,28.686429,30.307284,13.329956
2025Q3,397.2619,280.1752,250.048009,44.431213,101.8724,71.319324,70.837,90.539696,54.5482,16.1454,31.22,40.741149,30.273111,29.473425,22.071609
2025Q4,452.8897,316.212,382.399356,60.253456,160.744,107.972543,107.1005,111.31216,108.9613,27.5999,43.84,42.035632,30.281835,30.17903,31.231112
2026Q1,565.8068,381.149,194.963981,192.116909,89.7968,57.345015,57.1775,264.562738,33.6757,19.292,17.54,46.058133,32.39979,32.636186,12.401716
