# GoalTracker 财务数据
公司,天孚通信
股票代码,300394.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,26.4418,24.1818,2.827515,16.175957,1.4051,0.828983,0.7671,11.823245,1.191,0.1695,3.49,49.693888,29.566567,8.54684,3.218317
2022Q2,27.22,23.7897,5.774865,17.918058,2.8069,1.729954,1.5412,21.531678,2.8038,0.47,7.15,48.60612,30.149301,12.601809,6.603666
2022Q3,28.3539,24.8618,8.896329,16.152161,4.4394,2.771651,2.4974,28.84496,3.6047,0.6546,11.45,49.901226,31.332939,12.315995,10.349941
2022Q4,29.0092,26.3702,11.96392,15.885331,6.1755,4.029422,3.6459,31.496377,4.6366,1.1159,16.3,51.617689,33.846371,9.097287,14.854557
2023Q1,30.2053,27.712,2.869901,1.499079,1.4758,0.921368,0.8546,11.411922,1.3909,0.0759,3.45,51.424873,32.098872,8.254434,3.111419
2023Q2,30.2628,27.4018,6.641704,15.01055,3.3846,2.360012,2.2559,46.376722,2.8944,0.318,8.58,50.959293,35.549382,9.453983,7.96694
2023Q3,33.4243,29.5057,12.061107,35.573975,6.3847,4.390767,4.2072,68.461786,4.9192,0.7002,15.75,52.936307,36.455523,11.723755,14.085195
2023Q4,38.9822,33.6321,19.385976,62.036988,10.5272,7.298794,7.1975,97.415319,9.0187,2.0448,25.08,54.303106,37.649848,13.724522,21.469732
2024Q1,41.8309,36.6058,7.316705,154.946238,4.0618,2.788772,2.6926,215.066073,1.3649,0.7752,8.34,55.514697,38.244462,12.491096,6.925195
2024Q2,43.5943,37.4318,15.559524,134.27008,8.989,6.541952,6.4121,184.238336,4.802,1.6077,18.83,57.771385,42.130928,14.136159,15.877076
2024Q3,46.6459,38.7633,23.947074,98.547902,13.9406,9.764462,9.5144,126.146544,8.9355,2.4845,27.39,58.214011,40.82872,16.898895,22.836603
2024Q4,47.3673,39.86,32.517076,67.735051,18.6052,13.435222,13.1398,82.561792,12.6252,4.5148,36.74,57.216796,41.297211,15.849079,31.103009
2025Q1,52.0981,43.4313,9.446313,29.106097,5.0108,3.376267,3.3225,23.394225,2.9361,1.0407,8.13,53.045054,35.752467,16.635555,6.790887
2025Q2,56.5135,46.9371,24.558903,57.838392,12.4731,8.992413,8.6739,35.272989,6.0818,2.0481,20.13,50.788424,36.623173,16.945409,17.31648
2025Q3,58.4662,48.8472,39.184031,63.627636,20.3237,14.653558,14.3137,50.441618,13.4418,3.0827,31.3,51.867419,37.404846,16.452115,27.697728
2025Q4,64.493,55.1268,51.634325,58.791413,27.8633,20.17266,19.7645,50.416724,18.682,4.1751,41.91,53.9627,39.076258,14.522876,36.074934
2026Q1,69.8168,59.8651,13.302702,40.824278,7.5299,4.922189,4.9319,48.440815,1.8228,1.2315,8.57,56.603934,37.005251,14.253999,7.330364
2026Q2,75.8783,62.5519,28.279387,15.149229,17.2135,12.042851,11.8626,36.763184,10.0088,3.0834,19.6,60.869598,42.589804,17.562886,17.160394
