# GoalTracker 财务数据
公司,生益科技
股票代码,600183.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,261.2698,153.9207,47.676846,5.823765,11.2739,4.824436,4.7348,-15.181198,4.5726,3.9425,3.61,23.646468,10.625566,41.08746,2.004003
2022Q2,252.2913,146.1985,93.745516,-4.649094,21.9601,9.352783,8.9705,-36.041383,9.7898,7.5659,7.11,23.425174,10.588241,42.051714,3.99756
2022Q3,246.1645,149.6247,136.761963,-11.069723,30.1205,11.966424,11.5606,-45.849583,19.1282,10.5805,9.18,22.024021,9.320479,39.217597,5.197753
2022Q4,251.9563,152.9616,180.144422,-11.146254,39.6924,15.307897,14.2847,-43.499817,28.2001,15.3415,11.71,22.033648,9.057918,39.29041,6.576018
2023Q1,248.5284,156.575,37.558684,-21.222381,7.4144,2.477679,2.33,-50.788631,6.5556,2.9453,1.81,19.740848,6.459415,36.999148,0.969489
2023Q2,242.7102,150.1694,78.807217,-15.934948,15.2032,5.549018,5.1699,-42.368389,13.5061,6.1818,4.1,19.291632,6.977025,38.128124,2.223073
2023Q3,250.659,153.9326,123.475106,-9.715316,24.1178,8.989263,8.4266,-27.109521,21.7481,8.1566,6.65,19.532522,7.190824,38.588858,3.533071
2023Q4,249.5664,157.0019,165.860728,-7.929024,31.8209,11.639953,10.9182,-23.566998,27.4314,11.0882,8.57,19.185325,6.925425,37.09013,4.580674
2024Q1,250.1163,161.1852,44.232603,17.769311,9.4079,3.920864,3.8597,65.651562,1.3319,3.8233,2.76,21.269132,9.126724,35.555905,1.61582
2024Q2,256.6599,156.612,96.295094,22.190705,20.7247,9.324636,9.0854,75.738025,9.2592,5.1278,6.52,21.522081,10.153961,38.980745,3.863002
2024Q3,262.7328,158.7006,147.447965,19.415136,32.3951,13.722458,13.1282,55.795564,11.2912,6.9322,9.64,21.970549,9.838556,39.596182,5.663389
2024Q4,276.4325,165.0496,203.883302,22.924398,44.93,17.386695,16.751,53.421996,14.5612,9.2592,12.17,22.037127,9.161026,40.292981,7.101841
2025Q1,284.2339,172.9341,56.113709,26.860518,13.8045,5.636473,5.5955,44.971796,2.712,3.9568,3.7,24.600878,11.313837,39.157818,2.264667
2025Q2,297.8991,169.955,126.798967,31.677494,32.785,14.264909,13.7811,51.684408,19.4421,9.6354,9.35,25.855866,12.797466,42.9488,5.650762
2025Q3,320.4147,174.9857,206.135552,39.802235,55.1139,24.431644,23.7948,81.249489,31.76,17.0084,15.7,26.736711,13.891471,45.387741,9.595508
2025Q4,327.6956,189.101,284.311385,39.448097,75.2649,33.339544,31.7492,89.536339,52.7363,23.7566,21.25,26.472702,13.688765,42.293721,12.884259
2026Q1,362.0667,202.6444,81.414559,45.088535,22.8786,11.581393,10.8282,93.514882,5.7157,8.5191,6.68,28.10132,16.364488,44.031185,3.863092
2026Q2,423.9829,210.5986,190.256118,50.045479,58.3939,32.869773,29.077,110.991531,29.8321,18.8464,18.17,30.692275,19.54116,50.328526,9.892062
