# GoalTracker 财务数据
公司,中科曙光
股票代码,603019.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2021Q4,263.1844,131.5835,112.686056,10.899097,26.897,11.763938,7.9102,50.457116,-5.2288,16.2909,9.69,23.868959,11.152783,50.003324,5.315985
2022Q1,263.2568,132.3198,21.805627,9.985395,4.5595,1.092131,0.3929,6.454914,-10.3641,2.442,0.86,20.909615,4.666567,49.737364,0.386586
2022Q2,263.5954,136.4677,50.316816,11.862154,12.0988,4.732705,2.732,32.280004,-14.728,8.5293,3.68,24.045338,9.534335,48.228344,1.821396
2022Q3,320.8308,164.1253,73.865744,13.593364,17.795,6.536519,3.7292,59.062671,-17.6247,15.9878,4.95,24.091001,9.339421,48.843672,2.362484
2022Q4,318.1054,177.4033,130.079552,15.435358,34.1619,15.443049,11.5144,45.563902,11.2488,26.8514,10.21,26.2623,12.432195,44.231304,5.564089
2023Q1,312.756,179.2177,22.979978,5.385544,5.5237,1.309675,0.4881,24.236366,-2.2587,4.4003,0.77,24.037176,6.653827,42.697259,0.484749
2023Q2,303.8849,181.4178,54.006977,7.333853,14.0654,5.447472,3.0528,11.74184,10.0549,11.1562,3.15,26.043762,10.906304,40.300486,1.893973
2023Q3,307.1916,182.4729,77.581439,5.030336,20.0746,7.502754,4.0959,9.833813,8.4182,17.2226,4.32,25.875455,10.16064,40.599643,2.521288
2023Q4,316.1546,194.8079,143.526582,10.337543,37.6912,18.359007,12.7783,10.976921,35.0983,21.6698,10.3,26.260801,13.084009,38.38208,5.921556
2024Q1,318.947,196.1665,24.786415,7.860917,6.6554,1.425776,0.5662,16.004884,-4.9355,1.698,0.76,26.851149,5.301151,38.495593,0.413781
2024Q2,320.922,198.193,57.120591,5.765207,14.9916,5.631587,3.6635,20.002571,-9.3404,5.3754,2.97,26.245523,9.931125,38.242619,1.780859
2024Q3,326.1637,200.3027,80.414545,3.651783,21.5603,7.695217,4.4504,8.655595,-12.768,6.4056,4.05,26.811416,10.010296,38.588308,2.506462
2024Q4,366.1749,213.2685,131.476851,-8.39547,38.3402,19.111523,13.7168,7.344695,27.2182,8.5964,9.81,29.161188,15.161824,41.757757,5.84301
2025Q1,359.3029,211.124,25.862333,4.340756,6.7419,1.864728,1.0707,89.100192,-11.1774,2.0705,0.91,26.068286,6.548278,41.240651,0.466875
2025Q2,366.2411,217.1676,58.49961,2.414224,15.5899,7.286608,5.6859,55.204831,-13.8134,4.2392,3.52,26.649574,11.999574,40.703639,1.916863
2025Q3,369.9005,219.4749,88.202202,9.684389,21.5684,9.661136,7.5733,70.171794,-12.9568,6.0042,4.67,24.453361,10.455768,40.666509,2.505781
2025Q4,409.5374,230.6872,149.636444,13.812007,45.764,21.762929,18.377,33.974216,13.1336,9.1724,10.25,30.583473,14.419401,43.671265,5.563062
2026Q1,393.3716,231.5569,31.994305,23.710049,8.4969,2.278439,1.6413,53.296212,-13.907,6.0529,1.02,26.557524,5.999755,41.135336,0.478156
