# GoalTracker 财务数据
公司,松发股份
股票代码,603268.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,7.6837,3.5983,0.500325,-45.999549,0.0355,-0.215445,-0.218,-191.308057,0.0683,0.0126,-6.21,7.10375,-44.163233,53.169679,-2.758261
2022Q2,7.6825,3.4168,1.049521,-43.426008,0.0629,-0.395096,-0.4168,-279.559235,0.0022,0.0264,-11.54,5.988855,-38.349359,55.525287,-5.024623
2022Q3,7.1849,2.8465,1.952731,-31.216175,0.0495,-0.963439,-0.9914,-319.283092,0.0281,0.0292,-30.68,2.533217,-49.817697,60.382785,-12.533833
2022Q4,6.5078,2.1033,2.708259,-32.793039,-0.2019,-1.705617,-1.7137,45.245154,0.0604,0.0668,-61.56,-7.456516,-63.274735,67.679698,-23.085935
2023Q1,6.0605,1.8813,0.373755,-25.297516,-0.0328,-0.218993,-0.2228,-2.183052,0.0434,0.0451,-12.1,-8.782243,-58.79507,68.957668,-3.496895
2023Q2,6.302,1.7031,0.914099,-12.903254,0.0056,-0.397157,-0.4055,2.715354,-0.0054,0.0475,-23.08,0.616749,-43.618681,72.975587,-6.2252
2023Q3,6.2146,1.4661,1.555104,-20.362625,0.0896,-0.634617,-0.6478,34.65409,-0.1701,0.071,-40.44,5.761948,-40.925291,76.40863,-10.004894
2023Q4,5.6548,0.7521,2.060938,-23.901756,0.0951,-1.169983,-1.1909,30.506976,-0.1533,0.0805,-87.59,4.614718,-56.834199,86.699964,-19.260937
2024Q1,5.6284,0.6465,0.466527,24.821445,0.0954,-0.10564,-0.1106,50.358221,-0.042,0.0107,-15.11,20.454294,-22.643913,88.514471,-1.872514
2024Q2,5.6212,0.4048,16.076903,1658.77078,1.6756,-0.041623,-0.3564,12.117014,-11.652,5.5086,-0.76,10.422545,-0.258902,92.798329,-0.738264
2024Q3,5.4904,0.149,34.868024,2142.167313,4.4311,0.741711,-0.6105,5.766255,-21.274,21.0412,12.63,12.708298,2.127197,97.286334,13.309913
2024Q4,194.4276,32.7887,57.711519,2700.255602,8.3106,2.24386,-0.7834,34.216369,-28.8054,48.4838,17.4,14.400186,3.888063,83.135804,2.242936
2025Q1,5.5703,-0.1936,29.720076,6270.495123,5.7826,2.54124,-0.215,-94.39439,-13.0219,15.3435,,19.456741,8.550583,103.47482,2.541267
2025Q2,343.7778,35.3364,66.797891,315.48979,13.9519,6.470954,1.1579,424.900666,-2.0176,38.6902,18.3,20.886747,9.687363,89.721153,2.404641
2025Q3,434.1908,80.6803,117.585027,237.228821,25.637,12.713495,6.8799,1226.948737,-8.225,70.7793,30.51,21.802929,10.812171,81.418243,4.0449
2025Q4,493.9203,94.5212,216.391528,274.953791,44.1542,26.546077,20.3293,2694.889059,-14.5768,96.3049,46.77,20.404785,12.267614,80.863061,7.712982
2026Q1,569.7829,105.4537,88.883352,199.068388,19.097,10.934631,10.921,5180.160391,39.9558,22.182,10.94,21.485465,12.302226,81.49231,2.055955
2026Q2,746.1095,130.6003,235.044579,251.874252,55.6088,36.086502,35.1445,2935.310812,85.0912,101.5959,32.06,23.658818,15.353046,82.495826,5.820263
