# GoalTracker 财务数据
公司,瑞芯微
股票代码,603893.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,34.3197,29.6114,5.429303,-3.904842,2.1254,0.84146,0.7597,-6.408419,-1.0162,0.2353,2.9,39.147296,15.498497,13.719146,2.471002
2022Q2,36.8754,28.1271,12.418468,-9.907601,4.8243,2.722864,1.9593,-10.301847,-1.3201,0.7236,9.05,38.847557,21.925923,23.72379,7.706677
2022Q3,33.3453,28.3721,15.702874,-23.661881,6.0409,2.759887,1.7278,-49.829207,-4.4843,1.0139,9.26,38.469873,17.575683,14.914235,8.222219
2022Q4,33.7021,29.2035,20.296751,-25.341223,7.6486,2.974273,1.7252,-61.27846,-6.2249,1.4132,10.35,37.683855,14.653935,13.348094,8.814068
2023Q1,33.4544,29.1913,3.29366,-39.335498,1.1013,-0.183787,-0.243,-131.983655,0.5859,0.6291,-0.63,33.437376,-5.580013,12.742947,-0.547338
2023Q2,35.0739,28.8999,8.526434,-31.34069,2.8923,0.247998,0.15,-92.344961,1.9763,0.7729,0.84,33.921028,2.90858,17.602631,0.721176
2023Q3,34.5705,29.5439,14.545363,-7.371333,5.0639,0.773164,0.6642,-61.559465,3.9765,1.347,2.62,34.814712,5.315538,14.540188,2.264933
2023Q4,35.0722,30.6074,21.345221,5.165707,7.31,1.34885,1.2632,-26.780617,6.8126,1.6198,4.53,34.246506,6.319215,12.730297,3.92254
2024Q1,35.0698,31.3084,5.430778,64.885806,1.8831,0.676497,0.6601,371.671694,2.1157,0.6064,2.19,34.675484,12.456725,10.725606,1.928935
2024Q2,37.9952,31.8467,12.486022,46.438965,4.4839,1.827721,1.7685,1079.151246,6.3478,1.0062,5.79,35.911071,14.638134,16.182156,5.002838
2024Q3,38.9799,33.7109,21.596066,48.473886,7.8858,3.51709,3.4346,417.136643,8.5133,1.2908,10.92,36.514951,16.285791,13.517224,9.498964
2024Q4,42.6599,35.4588,31.363707,46.935495,11.7889,5.948622,5.3839,326.217286,13.7938,1.2481,17.81,37.587616,18.966579,16.88012,15.30545
2025Q1,44.3439,37.6167,8.849626,62.953206,3.6236,2.094794,2.0795,215.002273,3.1155,0.334,5.74,40.946341,23.670993,15.170614,4.81541
2025Q2,50.099,39.566,20.458431,63.850666,8.6523,5.311461,5.1575,191.626349,7.0832,1.0935,13.83,42.292221,25.96221,21.024264,11.452191
2025Q3,51.1193,42.3859,31.413815,45.460821,13.1222,7.795769,7.5598,120.105679,8.473,1.5377,19.59,41.77215,24.816371,17.084491,16.625793
2025Q4,55.847,43.8239,44.020909,40.356206,18.4666,10.399521,10.0892,87.394012,10.6877,2.3295,25.79,41.949516,23.624049,21.528578,21.1143
2026Q1,57.4578,47.1988,12.054536,36.215203,5.1885,3.291947,3.199,53.836704,3.8251,0.9285,7.23,43.042025,27.308778,17.854864,5.810777
2026Q2,65.8792,49.2292,28.765282,40.603559,13.1719,8.590289,8.3949,62.769781,8.0037,1.6738,18.34,45.790982,29.863392,25.273585,14.11411
