# GoalTracker 财务数据
公司,中微公司
股票代码,688012.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,169.5746,140.9305,9.491436,57.313085,4.3154,1.1719,1.8642,1578.176593,-2.7393,1.6893,0.84,45.466696,12.330264,16.891749,5.3276,20.9497,14.9972,87.8761,0.694748
2022Q2,182.2547,146.848,19.717948,47.299715,8.9446,4.677939,4.4071,615.256956,0.6231,4.4633,3.28,45.36268,23.662829,19.427071,5.6393,24.8731,15.9436,96.6949,2.669353
2022Q3,191.6994,150.6814,30.430577,46.810661,13.8486,7.92968,6.4391,290.427004,0.7334,5.7465,5.47,45.508922,26.006873,21.397051,6.1241,32.4045,19.6919,82.1825,4.408577
2022Q4,200.3478,154.825,47.39831,52.497604,21.679,11.697924,9.1946,183.437069,6.1752,15.0512,7.94,45.737866,24.640062,22.721886,6.1877,34.0191,21.9528,73.2601,6.352832
2023Q1,202.6798,158.1283,12.230684,28.86021,5.6108,2.753691,2.2785,22.224948,-3.4764,3.4555,1.76,45.874644,22.484847,21.981257,8.9115,37.0489,23.2049,77.2404,1.364696
2023Q2,206.6673,167.8285,25.26501,28.132048,11.0952,10.029695,5.1891,17.745754,-6.8502,4.636,6.25,43.915449,39.671631,18.792885,7.7802,38.0513,18.0489,73.7165,4.925145
2023Q3,205.1501,169.2837,40.412665,32.80282,17.5607,11.598358,7.3365,13.937179,-12.7649,6.5338,7.18,43.453507,28.671548,17.482994,10.6241,40.9116,13.6547,67.1211,5.714918
2023Q4,215.2555,178.2311,62.635136,32.146348,27.4419,17.85908,11.9143,29.580055,-9.7693,8.7046,10.72,43.81231,28.482052,17.20022,11.6491,42.6034,7.716,70.9041,8.585001
2024Q1,223.7251,179.2512,16.050241,31.2293,6.8231,2.491358,2.6295,15.403725,-5.8644,2.1921,1.38,42.510731,15.504759,19.878795,16.7344,55.8365,11.6901,67.0314,1.133786
2024Q2,242.4163,181.7069,34.477128,36.461958,14.2462,5.16694,4.8323,-6.876551,3.8192,4.1937,2.85,41.320753,14.973711,25.043417,14.3949,67.7793,25.3515,76.4907,2.255986
2024Q3,252.7134,187.3889,55.071946,36.273978,23.2524,9.129797,8.1348,10.881434,2.6757,6.9526,4.96,42.221858,16.563499,25.849252,13.3692,78.2164,29.8798,67.9893,3.898482
2024Q4,262.1754,197.3554,90.651651,44.729711,37.2219,16.156757,13.8815,16.511059,14.584,8.9506,8.66,41.060339,17.807887,24.723913,13.5234,70.3852,25.8647,77.6162,6.762505
2025Q1,271.1858,201.38,21.732784,35.40472,9.0272,3.130825,2.983,13.444907,3.7681,2.979,1.57,41.537061,14.183455,25.740956,15.9078,74.4774,30.6692,78.3471,1.155862
2025Q2,284.2069,208.4875,49.606013,43.880933,19.7705,7.059165,5.3877,11.493005,2.029,3.9427,3.49,39.855119,13.831308,26.642358,19.5433,80.7783,31.6512,77.5356,2.511487
2025Q3,297.8685,214.4071,80.625651,46.400585,31.5254,12.111924,8.868,9.013113,12.9831,5.021,5.87,39.100945,14.645018,28.019552,20.9271,81.9395,43.887,75.0744,4.216683
2025Q4,298.4602,227.2884,123.846383,36.617901,48.505,21.11473,15.498,11.644465,22.9535,8.5493,9.97,39.16545,16.667563,23.846324,19.8684,71.6997,30.4384,79.514,7.363846
2026Q1,312.7038,243.3598,29.149865,34.128538,11.6286,9.304873,4.7756,60.092377,-1.5873,1.9077,4,39.892565,31.507518,22.175617,25.6596,72.5885,28.5294,79.0083,3.005543
2026Q2,377.3691,302.9016,66.912873,34.888635,26.5923,28.251946,11.2259,108.362534,6.8455,7.7694,11.56,39.741737,41.803999,19.733341,30.5784,76.6598,27.7234,97.6821,8.277906
