# GoalTracker 财务数据
公司,中微半导
股票代码,688380.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,14.6961,13.3776,2.157012,27.650503,1.1391,0.271657,0.623,12.526576,-1.5635,0.0816,2.05,52.810968,12.594137,8.972049,1.3482,3.2235,0.0824,1.5681,1.821915
2022Q2,15.1234,13.5612,4.143826,-22.522354,1.932,0.446105,1.1139,-56.287606,-2.2983,0.2604,3.35,46.624584,10.765523,10.329875,2.0007,3.5214,0.0808,2.3747,2.949618
2022Q3,33.524,31.9192,5.080856,-46.525466,2.2985,0.702585,1.0103,,-2.9893,0.3202,4.54,45.237844,13.828075,4.787158,1.4394,4.5635,0.1136,16.5939,2.888387
2022Q4,33.722,31.8826,6.367937,-42.581043,2.6172,0.593442,0.6683,-87.586878,-2.8004,0.8291,3.04,41.100357,9.319221,5.454639,1.3077,5.3463,0.0267,10.6231,2.429801
2023Q1,33.8446,32.3072,1.315816,-38.998238,0.2876,0.432067,-0.0437,-107.021343,-1.1004,0.0713,1.35,21.859798,32.83646,4.54237,1.3472,5.7726,0.0488,8.0954,1.278937
2023Q2,32.2381,30.3585,2.88212,-30.44785,0.5762,0.265403,-0.1589,-114.267018,-0.8641,0.094,0.83,19.992308,9.208588,5.830423,1.1301,6.1509,0.0321,4.3947,0.804737
2023Q3,31.2854,29.9626,4.637678,-8.722499,0.858,-0.059279,-0.4068,-140.268559,-1.0692,0.0994,-0.19,18.500376,-1.278199,4.22831,1.2387,5.756,0.0242,6.7214,-0.182375
2023Q4,31.5108,29.7164,7.135697,12.056651,1.2449,-0.219485,-0.7135,-206.759783,0.2071,0.3315,-0.71,17.446399,-3.075875,5.694606,1.5051,4.6922,0.0327,9.1726,-0.672928
2024Q1,31.8085,29.9749,2.05429,56.122908,0.5495,0.288273,0.2473,665.353501,0.6997,0.0439,0.97,26.747624,14.032719,5.764576,1.1872,4.7756,0.0385,9.9143,0.910536
2024Q2,30.8875,29.1189,4.286847,48.739368,1.2764,0.430222,0.6317,497.526233,1.2627,0.0459,1.43,29.774994,10.035859,5.726015,1.2351,4.7088,0.0503,2.1797,1.378954
2024Q3,31.5372,29.6742,6.494345,40.034407,1.9442,1.113381,0.7741,290.263437,1.8997,0.0715,3.65,29.937441,17.143855,5.9073,1.2423,4.4559,0.0497,1.7781,3.531854
2024Q4,33.093,29.9337,9.116547,27.759715,2.7226,1.368339,0.9117,227.780976,3.1285,0.3132,4.59,29.864595,15.009397,9.546852,1.5473,3.7608,0.0764,2.1588,4.236091
2025Q1,32.8869,30.2797,2.064982,0.520476,0.7115,0.344202,0.3258,31.751514,0.5615,0.0423,1.14,34.457399,16.668544,7.927813,1.244,3.578,0.0404,2.0292,1.043354
2025Q2,32.8412,29.8012,5.039609,17.559787,1.6759,0.864696,0.7576,19.922852,1.5111,0.2822,2.85,33.254254,17.157992,9.25668,1.7222,3.1379,0.0603,4.2994,2.622904
2025Q3,35.2014,30.4574,7.73013,19.028641,2.5989,1.522881,1.057,36.555385,2.2448,0.2673,4.96,33.620471,19.700583,13.476725,1.6118,3.5019,0.0849,3.3921,4.459748
2025Q4,36.7936,31.7739,11.221501,23.089376,3.8469,2.841815,1.6907,85.432179,2.6048,1.2339,9.24,34.281737,25.324731,13.642786,2.2362,3.4236,0.0564,3.5191,8.132645
2026Q1,35.1387,32.2809,3.251795,57.473325,1.2505,0.512484,0.6904,111.910026,0.9034,0.0805,1.6,38.454381,15.76003,8.132669,1.9754,3.2763,0.0589,1.9853,1.424908
2026Q2,37.9082,32.2821,7.257737,44.013909,2.8121,1.716223,1.589,109.74068,1.9323,0.2677,5.26,38.746033,23.6468,14.841326,2.2853,3.3438,0.1023,3.2816,4.594863
